Key,english,japanese,german
foodAppleDesc,"[e7a729]Apples are used to feed tamed horses. As your horse takes damage, you'll need apples to keep it fed. Each apple will refill 1000 health. Keep an eye on your horses health while riding and take good care of it![-]","[e7a729]飼いならされた馬の体力を回復させるために使用するリンゴ。\n\nリンゴ一つで馬の体力が1000回復します。\n\n馬の体力に気を付けて、大切にしてあげてくださいね！[-]","[e7a729]Äpfel werden verwendet um gezähmte Pferde zu füttern. Da Ihr Pferd Schaden nimmt benötigen Sie Äpfel um es gefüttert zu halten. Jeder Apfel füllt 1000 Gesundheit wieder auf. Behalten Sie die Gesundheit Ihrer Pferde beim Reiten im Auge und kümmern Sie sich gut darum![-]"


resourceHorseRanchReputation1,"[e7a729]Reputation: Maybell's Ranch[-]","[e7a729]メイベルの牧場[-]","[e7a729]Ruf: Maybell's Ranch[-]"
resourceHorseRanchReputation1Desc,"[e7a729]Using this item will grant +1 reputation for Maybell's Ranch. New items and recipes will unlock, depending on your reputation standing with the ranch.[-]","[e7a729]このアイテムを使用するとメイベルの牧場での評判が1ポイント上がります。\n\n評判を上げると、クラフトレシピがアンロックされたり、クエストを受けることが出来るようになります。[-]","[e7a729]Wenn Sie diesen Gegenstand verwenden erhalten Sie einen Ruf von +1 für Maybell's Ranch. Abhängig von Ihrem Ruf auf der Ranch werden neue Gegenstände und Rezepte freigeschaltet.[-]"

resourceAbbyGameToken,"[e7a729]Game Token: Simon Says[-]","[e7a729]ゲームトークン：　船長さんの命令[-]","[e7a729]Spielmarke: Simon sagt[-]"
resourceAbbyGameTokenDesc,"[e7a729]Use this item on Abby to start a game of Simon Says. Getting 10 correct answers in a row will award +1 reputation. This can be repeated as often as you wish, just requiring a new game token to be crafted.[-]","[e7a729]このトークンをアビーに使用するとゲームが開始します。\n\n10回連続で正解すると評判ポイントが1上がります。\n\nトークンは消費アイテムです。\nゲームはトークンがあれば、何度でも繰り返しプレイすることが出来ます。[-]","[e7a729]Verwenden Sie diesen Gegenstand auf Abby um eine Partie Simon Says zu starten. Wenn Sie 10 richtige Antworten hintereinander erhalten erhalten Sie einen Ruf von +1. Dies kann so oft wiederholt werden wie Sie möchten und es muss lediglich ein neuer Spielmarker hergestellt werden.[-]"
resourceAbbyGameTokenUsed,"[e7a729]Used Game Token[-]","[e7a729]使用済みのゲームトークン[-]","[e7a729]Benutztes Spiel-Token[-]"
resourceAbbyGameTokenUsedDesc,"[e7a729]A used game token that can be smelted to return the amount of brass used from crafting.[-]","[e7a729]使用済みのゲームトークン。\n\nフォージで溶かす事により、トークンのクラフトに必要な真鍮が入手出来ます。[-]","[e7a729]Ein gebrauchter Spielstein der geschmolzen werden kann um die Menge an Messing zurückzugeben die beim Herstellen verwendet wird.[-]"
resourceAbbysLocket,"[e7a729]Abby's Locket[-]","[e7a729]アビーのロケットペンダント[-]","[e7a729]Abbys Medaillon[-]"
resourceAbbysLocketDesc,"[e7a729]She calls this a hair loom. Aren't kids the cutest...[-]","[e7a729]カホーのペンダントらしいです。\n\nアビーちゃん、家宝って言いたいのですね。[-]","[e7a729]Sie nennt das einen Haarwebstuhl. Sind Kinder nicht die süßesten ...[-]"
resourceDustBunny,"[e7a729]Dust Bunny[-]","[e7a729]綿埃(ダストバニー)[-]","[e7a729]Staub Hase[-]"
resourceDustBunnyDesc,"[e7a729]Wait.. They are actual bunnies?!?! No one ever told me that...[-]","[e7a729]綿埃(ダストバニー)って本当にバニー(ウサギさん)だったのですか...[-]","[e7a729]Warten Sie .. Sie sind echte Hasen?!?! Niemand hat mir jemals gesagt dass ...[-]"

horseSaddleSchematic,"[e7a729]Horse Saddle Schematic[-]","[e7a729]馬のサドルの図[-]","[e7a729]Pferdesattelschema[-]"
horseSaddleSchematicDesc,"[e7a729]Learn how to craft your very own saddles for your very own horses![-]","[e7a729]あなたの馬につけるサドルをクラフトしてみましょう！[-]","[e7a729]Erfahren Sie wie Sie Ihre eigenen Sättel für Ihre eigenen Pferde herstellen![-]"
SimonSaysSchematic,"[e7a729]Unlock Simon Says Minigame[-]","[e7a729]船長さんの命令ミニゲームをアンロックします[-]","[e7a729]Schalte Simon Says Minigame frei[-]"
SimonSaysSchematicDesc,"[e7a729]Read this book to unlock the recipe to create game tokens to play Simon Says with Abby.[-]","[e7a729]船長さんの命令ミニゲームを開始するために必要なゲームトークンがクラフト可能になります。[-]","[e7a729]Lesen Sie dieses Buch um das Rezept zum Erstellen von Spielmarken für Simon Says mit Abby freizuschalten.[-]"

resourceHorseCourseTicket,"[e7a729]Obstacle Course Ticket","[e7a729]乗馬コースチケット[-]","[e7a729]リンゴ[-]","[e7a729]Hindernisparcours-Ticket[-]"
resourceHorseCourseTicketDesc,"[e7a729]This ticket is used to complete the horse obstacle course. Run the course until you have 100 points, then bring the ticket to Vincent to exchange for a ribbon.[-]","[e7a729]乗馬コースで100ポイント貯まった状態で、乗馬コースチケットをヴィンセントにわたします。\n\n条件が満たされていれば、ヴィンセントから報酬のリボンを受け取ることが出来ます。[-]","[e7a729]Mit diesem Ticket wird der Hindernisparcours für Pferde absolviert. Führen Sie den Kurs aus bis Sie 100 Punkte haben und bringen Sie dann das Ticket nach Vincent um es gegen ein Band einzutauschen.[-]"
resourceHorseCourseRibbon,"[e7a729]Obstacle Course Ribbon","[e7a729]乗馬コース報酬リボン[-]","[e7a729]Hindernislaufband[-]"
resourceHorseCourseRibbonDesc,"[e7a729]1st place! You've completed the horse course and may now use this in a recipe to upgrade your horse. This is a single use item, so after using it, you will need to complete the obstacle course again to upgrade a different horse.[-]","[e7a729]1位おめでとうございます！\n乗馬コースをクリアしたため、このリボンを材料に、馬のアップグレードが出来るようになりました。\n\nこのアイテムは消耗品なため、別の馬をアップグレードするためには、もう一度乗馬コースをクリアし、リボンを入手する必要があります。[-]","[e7a729]リンゴ[-]","[e7a729]Platz 1! Sie haben den Pferdekurs abgeschlossen und können diesen nun in einem Rezept verwenden um Ihr Pferd zu verbessern. Dies ist ein Einweggegenstand. Nach der Verwendung müssen Sie den Hindernislauf erneut absolvieren um ein anderes Pferd zu verbessern.[-]"

meleeToolBroom,"[e7a729]Broom[-]","[e7a729]ほうき[-]","[e7a729]Besen[-]"
meleeToolBroomDesc,"[e7a729]A simple broom. Useful for knocking down spider webs and brutally murdering some dust bunnies.[-]","[e7a729]ただのほうきです。\n\n蜘蛛の巣や綿埃(ダストバニー)をはらうために使用します。[-]","[e7a729]Ein einfacher Besen. Nützlich um Spinnennetze niederzuschlagen und einige Staubhasen brutal zu ermorden.[-]"
---------------Talk Tos ---------------------
resourceTalkToMaybell,"[e7a729]Talk to: Maybell[-]","[e7a729]話しかける：　メイベル[-]","[e7a729]Sprechen Sie mit: Maybell[-]"
resourceTalkToMaybellDesc,"[e7a729]Purchase this item to talk to Maybell (used in quests).[-]","[e7a729]メイベルと話すために使用します。(クエストアイテム)[-]","[e7a729]Kaufe diesen Gegenstand um mit Maybell zu sprechen (wird in Quests verwendet).[-]"
resourceTalkToAbby,"[e7a729]Talk to: Abby[-]","[e7a729]話しかける：　アビー[-]","[e7a729]Sprich mit: Abby[-]"
resourceTalkToAbbyDesc,"[e7a729]Purchase this item to talk to Abby (used in quests).[-]","[e7a729]アビーと話すために使用します。(クエストアイテム)[-]","[e7a729]Kaufe diesen Gegenstand um mit Abby zu sprechen (wird in Quests verwendet).[-]"
resourceTalkToLeah,"[e7a729]Talk to: Leah[-]","[e7a729]話しかける：　リア[-]","[e7a729]Sprich mit: Leah[-]"
resourceTalkToLeahDesc,"[e7a729]Purchase this item to talk to Leah (used in quests).[-]","[e7a729]リアと話すために使用します。(クエストアイテム)[-]","[e7a729]Kaufe diesen Gegenstand um mit Leah zu sprechen (wird in Quests verwendet).[-]"
resourceTalkToVincent,"[e7a729]Talk to: Vincent[-]","[e7a729]話しかける：　ヴィンセント[-]","[e7a729]Sprechen Sie mit: Vincent[-]"
resourceTalkToVincentDesc,"[e7a729]Purchase this item to talk to Vincent (used in quests).[-]","[e7a729]ヴィンセントと話すために使用します。(クエストアイテム)[-]","[e7a729]Kaufe diesen Gegenstand um mit Vincent zu sprechen (wird in Quests verwendet).[-]"

---------------Quests--------------------------
questHorseRanchGroupDesc,"[e7a729]Completing this quest will reward you with Reputation with Maybell's Ranch.[-]","[e7a729]このクエストを完了するとメイベルの牧場での評判が上がります。[-]","[e7a729]Wenn du diese Quest abschließt wirst du mit Reputation bei Maybell's Ranch belohnt.[-]"

---------------Leah------------------
questHorseRanchLeah1,"[e7a729]More Potato Seeds[-]","[e7a729]じゃがいもの種[-]","[e7a729]Mehr Kartoffelsamen[-]"
questHorseRanchLeah1_offer,"[e7a729]Hey there! Are you able to help me out? I'm in need of some seeds to plant in the garden. If you could bring 5 potato seeds, I'd be most grateful.[-]","[e7a729]こんにちは！\n私の庭に植えるためのじゃがいもの種が足りなくて困ってるの。\n手を貸してもらえますか？\n\nじゃがいもの種を5つクラフトしてくれたら嬉しいな。[-]","[e7a729]Sie da! Kannst du mir helfen? Ich brauche Samen um sie im Garten zu pflanzen. Wenn Sie 5 Kartoffelsamen mitbringen könnten wäre ich Ihnen sehr dankbar.[-]"

questHorseRanchLeah2,"[e7a729]More Blueberry Seeds[-]","[e7a729]ブルーベリーの種[-]","[e7a729]Weitere Blaubeersamen[-]"
questHorseRanchLeah2_offer,"[e7a729]Come to help out? I'm a little low on blueberry plants in this garden. If you come across any, I'll be glad to get 5 more planted this season.[-]","[e7a729]手伝いに来てくれたのですか？\n\nブルーベリーが足りないので、ブルーベリーの種を5つクラフトしてもらえたら、嬉しいな。[-]","[e7a729]Kommst du um zu helfen? Ich habe ein wenig Heidelbeerpflanzen in diesem Garten. Wenn Sie auf etwas stoßen bin ich froh dass in dieser Saison 5 weitere gepflanzt werden.[-]"

--------------------Abby-----------------------
questHorseRanchAbby1,"[e7a729]Arts and Crafts[-]","[e7a729]芸術とクラフト[-]","[e7a729]Kunst und Handwerk[-]"
questHorseRanchAbby1_offer,"[e7a729]Oh! Umm. Hi! Today I want to paint a picture of a horse! My favorite color horse is white! Mom won't let me play with paint unless someone helps me. Will you help me? I need a paintbrush and some paper to paint on.[-]","[e7a729]あ、こんにちは！\n今日はねー、馬の絵を描きたい！\nアビーはね、白い馬が好きなの。\n\n絵を描くために必要なペンキブラシ(はけ)をクラフトして、紙を見つけて来てくれる？[-]","[e7a729]Oh! Umm. Hallo! Heute möchte ich ein Bild von einem Pferd malen! Mein Lieblingsfarbpferd ist weiß! Mama lässt mich nicht mit Farbe spielen es sei denn jemand hilft mir. Wirst du mir helfen? Ich brauche einen Pinsel und etwas Papier zum Malen.[-]"

questHorseRanchAbby2,"[e7a729]Happy Halloween[-]","[e7a729]ハッピーハロウィン[-]","[e7a729]Fröhliches Halloween[-]"
questHorseRanchAbby2_offer,"[e7a729]Do you feel that? The weather is starting to get colder! It's almost time for halloween! My favorite! Do you think you can make me a jack o lantern to decorate my playground with?[-]","[e7a729]ねぇねぇ！最近涼しくなってきたねー！\nということは...もうすぐハロウィン！\nハロウィン大好き！\n\nジャックオーランタンの作り方知ってる？\n私の遊び場を飾るために欲しいんだ、お願い、作って！[-]","[e7a729]Fühlst du das? Das Wetter wird kälter! Es ist fast Zeit für Halloween! Mein Favorit! Glaubst du du kannst mir eine Laterne machen mit der ich meinen Spielplatz dekorieren kann?[-]"

questHorseRanchAbby3,"[e7a729]A Family Hair Loom[-]","[e7a729]カホーってなんだろ[-]","[e7a729]Ein Familien-Haarwebstuhl[-]"
questHorseRanchAbby3_offer,"[e7a729]*Abby tears up and starts sniffling* Granny Maybell.. *sniff*.. is going to be mad.. *sniff*.. at me. She gave me a locket *sniff* and said it was a *sniff* family hair loom. I don't know what a hair loom is but *sniff* it seemed really important to Granny. I lost it somewhere on the farm. *sniff* Do you know where it is?[-]","[e7a729]ふぇ...メイベルおばあちゃん...きっと怒る...だって...大事なペンダント...大事なカホーだって言ってたもん... カホーって何かしらないけど...本当に大事そうにしてたもん...\nグスン...どっかいっちゃったの、牧場から出てないからどこかにあるんだけど...どこかわかんないの...\nおねがい、見つけるのたすけて！\n(ペンダントを見つけたら、破壊して回収してください。)[-]","[e7a729]* Abby zerreißt und fängt an zu schnüffeln * Oma Maybell .. * schnüffelt * .. wird verrückt sein .. * schnüffelt * .. an mir. Sie gab mir ein Medaillon * schnüffelte * und sagte es sei ein * schnüffelnder * Familienhaarwebstuhl. Ich weiß nicht was ein Haarwebstuhl ist aber * schnüffel * es schien Oma wirklich wichtig zu sein. Ich habe es irgendwo auf der Farm verloren. * schnüffel * Weißt du wo es ist?[-]"

--------------------Maybell----------------
questHorseRanchMaybell1,"[e7a729]A Simple Dinner[-]","[e7a729]シンプルなディナー[-]","[e7a729]Ein einfaches Abendessen[-]"
questHorseRanchMaybell1_offer,"[e7a729]Oh good, someone's here so I don't have to get up. I've got a real craving for a baked potato. Surely a strong adventurer like you would know how to cook one up for an old lady? I'll be here waiting![-]","[e7a729]あ、ちょうど良い所に、これで私が立ち上がる必要がなくなったわ！\n私ベークドポテトが欲しいの。\nあなたほどの強い冒険者さんなら、お婆ちゃんのための焼き芋くらい作れるわよね？\n\nここで待ってるからね！[-]","[e7a729]Oh gut jemand ist hier damit ich nicht aufstehen muss. Ich habe ein echtes Verlangen nach einer Ofenkartoffel. Sicherlich würde ein starker Abenteurer wie Sie wissen wie man einen für eine alte Dame kocht? Ich werde hier warten![-]"

questHorseRanchMaybell2,"[e7a729]Vincent's Favorite[-]","[e7a729]ヴィンセントの好物[-]","[e7a729]Vincents Favorit[-]"
questHorseRanchMaybell2_offer,"[e7a729]Vincent was complaining earlier about how hard he's been working. As the best Mother in Law, it is my duty to provide a delicious meal for him. But with my bad knees, I'm going to need help. I'll whip up a nice honey glazed ham if you bring me some fresh honey and grill up some meat. I'm sure he'd love that.[-]","[e7a729]ヴィンセントが頑張って働いているようなので、彼のために美味しいご飯を用意して上げようと思うの。\nでも、膝が痛くて、食材を調達しに行けなくて困ってます。\n\n蜂蜜を見つけて、グリルド肉(焼肉)をクラフトしてくれれば、美味しいハニーグレイズハムが作れるわ。\nきっとヴィンセントも喜ぶわ。[-]","[e7a729]Vincent hat sich früher darüber beschwert wie hart er gearbeitet hat. Als beste Schwiegermutter ist es meine Pflicht ihm ein köstliches Essen anzubieten. Aber mit meinen schlechten Knien werde ich Hilfe brauchen. Ich werde einen schönen Schinken mit Honigglasur zaubern wenn Sie mir frischen Honig bringen und etwas Fleisch grillen. Ich bin sicher er würde das lieben.[-]"

questHorseRanchMaybell3,"[e7a729]Cleaning Day[-]","[e7a729]大掃除[-]","[e7a729]Putztag[-]"
questHorseRanchMaybell3_offer,"[e7a729]Tsk tsk tsk. This house is just a mess. That's the problem with living on a ranch. Things get very dirty and dusty. See if you can find a broom in the barn. Clear out some of the dust bunnies in the house. They can be just about anywhere, so keep an eye out for when they appear![-]","[e7a729]はぁ...家が汚いわねぇ。\n牧場住まいだと、何でもすぐにホコリまみれになって困るわ。\n納屋の中にほうきがあるはずだから、見つけて来てくれないかしら?\n\n見つけたら、家の中の綿埃(ダストバニー)を見つけてはらってきて。\n\nホコリは家のどこにでも現れる可能性があるから、しっかり注意して見つけるのよ。\n(ほうきを見つけたら、破壊して回収してください。)[-]","[e7a729]Tsk tsk tsk. Dieses Haus ist nur ein Chaos. Das ist das Problem beim Leben auf einer Ranch. Die Dinge werden sehr schmutzig und staubig. Sehen Sie ob Sie einen Besen in der Scheune finden können. Räumen Sie einige der Staubhasen im Haus auf. Sie können fast überall sein achten Sie also darauf wann sie erscheinen![-]"

------------------Vincent-------------------
questHorseRanchVincent1,"[e7a729]Basic Defenses[-]","[e7a729]防衛の基本[-]","[e7a729]Grundlegende Verteidigung[-]"
questHorseRanchVincent1_offer,"[e7a729]Hello! Looks like horde night is getting closer. We're a little short on defenses, specifically iron arrows. If you have any spare, we definitly could use some. Bring some by next time you're in the area.[-]","[e7a729]こんにちは！\nホード日のための防衛準備を手伝ってくれるかい？\n鉄の矢が不足してるから、いくつかクラフトしてくれると助かる。[-]","[e7a729]Hallo! Sieht so aus als würde die Nacht der Horde näher kommen. Wir haben ein wenig wenig Verteidigung insbesondere Eisenpfeile. Wenn Sie etwas übrig haben könnten wir definitiv etwas gebrauchen. Bringen Sie etwas mit wenn Sie das nächste Mal in der Gegend sind.[-]"

questHorseRanchVincent2,"[e7a729]Maybell's Defenses[-]","[e7a729]メイベルの防衛[-]","[e7a729]Maybells Verteidigung[-]"
questHorseRanchVincent2_offer,"[e7a729]Old Maybell has taken a liking to the crossbow. She never stands and runs, so reloading is no problem for her. But she's run out of bolts. Mostly due to her not being able to aim. If you could restock us with, say, 35 iron crossbow bolts, she might be able to take one or two zombies down on horde night.[-]","[e7a729]メイベルはクロスボウがお気に入りですが、エイムが酷すぎて、すぐボルトを切らしてしまいます。\n\n彼女のために鉄のクロスボウボルトを35本クラフトしてくれるかな？\nそれだけあれば、ゾンビ1体くらいは倒せるはずだ。[-]","[e7a729]Der alte Maybell hat die Armbrust gemocht. Sie steht und rennt nie daher ist das Nachladen für sie kein Problem. Aber ihr gehen die Bolzen aus. Meistens weil sie nicht zielen konnte. Wenn Sie uns zum Beispiel mit 35 eisernen Armbrustbolzen auffüllen könnten könnte sie in der Nacht der Horde vielleicht ein oder zwei Zombies ausschalten.[-]"

questHorseRanchVincent3,"[e7a729]A Slight Trap[-]","[e7a729]ちょっとした罠[-]","[e7a729]Eine leichte Falle[-]"
questHorseRanchVincent3_offer,"[e7a729]Hey, friend. Last night I was scouting out a new area and came across a pretty horrific sight. It seems the undead are learning to ambush humans. Maybe they aren't as undead as we think. Since you seem to have a handle on protecting yourself, why don't you check it out for me? Here's the coordinates. Be careful and be ready. Let me know what happens.[-]","[e7a729]こんにちは。\n未探索エリアへ昨日行っていたんだけど、かなり酷い光景を目の当たりにした。\nゾンビたちがずいぶんと強化されたようなので、奴らとの闘いに慣れている君に頼みがある。\n\nこの場所の様子を見てくれないか?\n戻ったら、報告を頼む。[-]","[e7a729]Hallo Freund. Letzte Nacht habe ich ein neues Gebiet erkundet und bin auf einen ziemlich schrecklichen Anblick gestoßen. Es scheint dass die Untoten lernen Menschen zu überfallen. Vielleicht sind sie nicht so untot wie wir denken. Warum prüfst du es nicht für mich da du es im Griff zu haben scheinst dich selbst zu schützen? Hier sind die Koordinaten. Sei vorsichtig und sei bereit. Lass mich wissen was passiert.[-]"

-------------------Unlocks------------------
questHorseRanchUnlockItem2,"[e7a729]A Deal with Vincent Pt. 7[-]","[e7a729]ヴィンセントとの取引Pt. 7[-]","[e7a729]Ein Deal mit Vincent Pt. 7[-]"
questHorseRanchUnlockItem2Desc,"[e7a729]Unlocked at Reputation: 50.\n\nCraft this and bring it back to Vincent to continue the quest line.[-]","[e7a729]必要な評判ポイント：　50\n\nこれをクラフトし、ヴィンセントに話しかけるとクエストを進行させることが出来ます。[-]","[e7a729]Bei Reputation freigeschaltet: 50. Erstelle dies und bringe es zurück zu Vincent um die Questreihe fortzusetzen.[-]"

questHorseRanchUnlock1,"[e7a729]A Deal with Vincent Pt. 1[-]","[e7a729]ヴィンセントとの取引Pt. 1[-]","[e7a729]Ein Deal mit Vincent Pt. 1[-]"
questHorseRanchUnlock1Desc,"[e7a729]Unlocked at Reputation: 25.\n\nCraft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]必要な評判ポイント：　25\n\nこのクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Bei Reputation freigeschaltet: 25. Erstellen und lesen Sie diese Quest, um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock1_offer,"[e7a729]*After you became acquainted with everyone at Maybell's Ranch, Vincent comes up to you to have a word* Hey adventurer! I've been talking to Maybell. She says you've been helping us out around the ranch quite a bit. She told me to make a deal with you. If you bring me the materials and a bit of coin, I will teach you how to care for a horse of your own. First we'll get you set up with a saddle. Gather a bit of leather, cloth, some iron, and some duct tape. Bring it to me and we'll continue.[-]","[e7a729]こんにちは冒険者さん！\nメイベルと話していたんだが、牧場の皆が本当にお世話になっているようだね。\n君と1つ取引をしたいと思っているんだけど、良いかな？\n必要な材料とコインを引き換えに馬の扱い方を教えてあげよう。\n\nまずはサドルが必要だ。\n皮、布、鉄、そしてダクトテープを持って来てくれたら次のステップを教えるよ。[-]","[e7a729]* Nachdem du alle auf Maybell's Ranch kennengelernt hast kommt Vincent auf dich zu um ein Wort zu sagen * Hey Abenteurer! Ich habe mit Maybell gesprochen. Sie sagt Sie haben uns ziemlich viel auf der Ranch geholfen. Sie hat mir gesagt ich soll einen Deal mit dir machen. Wenn Sie mir die Materialien und ein Stück Münze bringen werde ich Ihnen beibringen wie man ein eigenes Pferd pflegt. Zuerst werden wir Sie mit einem Sattel einrichten. Sammeln Sie ein bisschen Leder Stoff etwas Eisen und etwas Klebeband. Bring es mir und wir fahren fort.[-]"

questHorseRanchUnlock2,"[e7a729]A Deal with Vincent Pt. 2[-]","[e7a729]ヴィンセントとの取引Pt. 2[-]","[e7a729]Ein Deal mit Vincent Pt. 2[-]"
questHorseRanchUnlock2Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Basteln und lesen Sie diese Quest um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock2_offer,"[e7a729]Excellent! Here are some plans for several saddle types. You'll need to be sure to use the correct color saddle for the specific color horse. Go ahead and choose one to get from the stable. You can take one from this stable or find another Maybells Farm and take one from there. Simply craft a saddle, walk up to a horse and left click. This will give you your own horse! Next step is finding a way to feed it. Instead of just repairing a horse like a vehicle, you can also feed it an apple to regenerate health. Keep an eye on the health while riding. Once you read the schematic for saddles, you are able to find apples from chopping any tree. So go find some apples and report back![-]","[e7a729]素晴らしい!\nいくつかのサドルのレシピ解放に必要な図をあげましょう。\nサドルの色と馬の色を合わせる必要があるので、間違えないでくださいね。\nここにいる馬の中から好きな色のを選んで良いですよ。\n欲しい馬と同じ色のサドルをクラフトし、サドルを手に持った状態で、馬に向かって左クリックを行います。\n\n馬は乗っていると徐々に体力が減るので、回復させるためには、リンゴを食べさせる必要があります。\nサドルの図を読むと、伐採時にリンゴがたまに入手出来るようになります。\n早速そこら辺の木を切り倒してリンゴを手に入れてみてください。[-]","[e7a729]Ausgezeichnet! Hier sind einige Pläne für verschiedene Satteltypen. Sie müssen sicherstellen dass Sie den richtigen Farbsattel für das jeweilige Farbpferd verwenden. Gehen Sie voran und wählen Sie eine aus dem Stall. Sie können einen aus diesem Stall nehmen oder eine andere Maybells Farm finden und einen von dort nehmen. Stellen Sie einfach einen Sattel her gehen Sie zu einem Pferd und klicken Sie mit der linken Maustaste. Dies gibt Ihnen Ihr eigenes Pferd! Der nächste Schritt besteht darin einen Weg zu finden es zu füttern. Anstatt ein Pferd wie ein Fahrzeug zu reparieren, können Sie es auch mit einem Apfel füttern, um die Gesundheit zu regenerieren. Achten Sie beim Fahren auf die Gesundheit. Sobald Sie den Schaltplan für Sättel gelesen haben können Sie Äpfel finden wenn Sie einen Baum fällen. Also such dir ein paar Äpfel und melde dich zurück![-]"

questHorseRanchUnlock3,"[e7a729]A Deal with Vincent Pt. 3[-]","[e7a729]ヴィンセントとの取引Pt. 3[-]","[e7a729]Ein Deal mit Vincent Pt. 3[-]"
questHorseRanchUnlock3Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Basteln und lesen Sie diese Quest um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock3_offer,"[e7a729]Nicely done. If your horse ever needs some health, just give it an apple. Remember, apples restore 1000 health each. Our daughter Abby has taken a liking to you. She said she wants to play with you, but is too shy to ask. Would you go play a game with her? It would make her very happy. Go talk to her and see what she wants to play. If I know her, it's a minigame. Good luck! There's no telling what her imagination will have in store for this minigame.[-]","[e7a729]いいね！\nリンゴを馬に食べさせると体力を1000回復させることが出来るからね。\n\nうちの娘のアビーが君とあそびたがってたよ。\nでも恥ずかしがり屋なので、話しかけることが出来ないらしい。\n本当に喜ぶと思うので、君の方から話しかけてやってくれないか？ \n多分、いつものミニゲームだとは思うけど、何して遊びたいか聞いて見てあげてくれ。[-]","[e7a729]Schön gemacht. Wenn Ihr Pferd jemals etwas Gesundheit braucht geben Sie ihm einfach einen Apfel. Denken Sie daran dass Äpfel jeweils 1000 Gesundheit wiederherstellen. Unsere Tochter Abby hat dich gemocht. Sie sagte sie will mit dir spielen ist aber zu schüchtern um zu fragen. Würdest du mit ihr ein Spiel spielen gehen? Es würde sie sehr glücklich machen. Sprich mit ihr und schau was sie spielen will. Wenn ich sie kenne ist es ein Minispiel. Viel Glück! Es ist nicht abzusehen was ihre Fantasie für dieses Minispiel bereithält.[-]"

questHorseRanchUnlock4,"[e7a729]A Deal with Vincent Pt. 4[-]","[e7a729]ヴィンセントとの取引Pt. 4[-]","[e7a729]Ein Deal mit Vincent Pt. 4[-]"
questHorseRanchUnlock4Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]","[e7a729]Basteln und lesen Sie diese Quest um zu lernen wie man ein Pferd pflegt während Vincent Ihnen genau beibringt was zu tun ist.[-]"
questHorseRanchUnlock4_offer,"[e7a729]Oh... Hey! Um... did you come to play with me?? *Abby looks very excited as you tell her yes* Yay! Can we play Simon Says? That sounds like fun! But... I want to be the game leader. We can play it like we're at a faire! *Abby clears her throat* Ladiessss and gentlemennn! Come one, come all, to Abby Says! It's like Simon Says but all about ME! *Abby giggles, then looks at you* Oh.. umm you're missing a game token! No faire minigame just gives you a free play. Here, I'll help you out. *Abby digs around her pockets and pulls out a tiny piece of paper with nothing on it* This is a recipe for crafting a game token. Go make one and we'll be able to play![-]","[e7a729]えっと...こんにちは！\nえっと...もしかしてアビーとあそんでくれるの？\n<<とても嬉しそうなアビーに向けて頷きます>>\nわーい！　船長さんの命令しよー！　楽しいよ、ほんとに楽しいよ！\n私がリーダーでいい？\nそれじゃ、皆集まってー！　皆でアビーの命令ゲームするよー！\n<<私一人しかいないのに...ｗ>>\n\nあ、ゲームトークン持ってないのね、ゲームに参加するにwはトークンが必要なのよ。\n<<アビーがポケットの中からボロボロになった紙切れを取り出してあなたにわたします>>\nそれがトークンを作るために必要な図！　それを読んで、トークンをクラフトしてね！[-]","[e7a729]Oh hallo! Ähm ... bist du gekommen um mit mir zu spielen? * Abby sieht sehr aufgeregt aus als du ihr ja sagst * Yay! Können wir Simon Says spielen? Das klingt nach Spaß! Aber ... ich möchte der Spielleiter sein. Wir können es spielen als wären wir auf einem Jahrmarkt! * Abby räuspert sich * Meine Damen und Herren! Komm eins komm alle zu Abby Says! Es ist wie Simon Says aber alles über MICH! * Abby kichert und sieht dich dann an * Oh ... ähm du vermisst einen Spielstein! Kein Faire-Minispiel bietet dir nur ein freies Spiel. Hier werde ich dir helfen. * Abby kramt in ihren Taschen und zieht ein kleines Stück Papier heraus auf dem sich nichts befindet. * Dies ist ein Rezept für die Herstellung eines Spielmarkers. Mach eins und wir können spielen![-]"

questHorseRanchUnlock5,"[e7a729]A Deal with Vincent Pt. 5[-]","[e7a729]ヴィンセントとの取引Pt. 5[-]","[e7a729]Ein Deal mit Vincent Pt. 5[-]"
